"welcome", "Welcome to CA Facts", "Bien Venudo a CA Facts"
"language-select", "Press #1 for English", "Oprima numero dos por espanol"
"promopt-access-code", "Please enter your Access Code located on your invitation postcard", "Ingrese su código de acceso ubicado en su postal de invitación"
"prompt-zip", "Please enter the first five digits of your zip code", "Ingrese los primeros cinco dígitos de su código postal"
"desc-study", "[PARAGRAPH DESCRIBING STUDY]", "ESTUDIO DE DESCRIPCIÓN DEL PÁRRAFO"
"q-bloodprick", "Can ypou prick blood? (press 1 for yes and 2 for now)", "¿Puedes pinchar sangre? (presione 1 para sí y 2 por ahora)"
"q-household-count", "How many kits do you need?  you may request between 1 and 3", "¿Cuántos kits necesitas? puedes solicitar entre 1 y 3"
"q-phone-cpu", "Are you able to complete the survey when you received the kits using a smartphone or computer?", "¿Puede completar la encuesta cuando recibió los kits con un teléfono inteligente o una computadora?"
"q-sms", "Can you receive SMS messages on a mobile phone?" , "¿Puedes recibir mensajes SMS en un teléfono móvil?"
"q-phone-nmber", "Please enter your phone number" , "Por favor, introduzca su número de teléfono"
"desc-thanks", "[THANK YOU / GOOD BYE]" , "GRACIAS ADIOS" 